name	id	recipe	quantity	unit	ingredient	notes
	/m/09kl4zk	Pasta with Simple Tomato Sauce	400.0	Gram	Penne	
	/m/0cpmh7s	Fettuccine Alfredo	1.0	Cup	Parmigiano Reggiano	freshly grated
	/m/07nh_85	Broccoli Raab Pasta	1.0	Cup	Stock	chicken stock is best
	/m/09rhz5k	Braised Shortribs	8.0	Cup	Stock	from the shortrib bones, or veal stock
	/m/0cc0x9f	Crêpes	0.25	Teaspoon	Kosher Salt	
	/m/094wynn	Duck Confit	8.0		Duck legs	
	/m/05yr17b	Jeff's Oatmeal-Raisin Cookies	12.0	Ounce	Raisin	Can substitute chocolate chips or dried cranberries.
	/m/0cc0xb3	Crêpes	1.0	Cup	Milk	
	/m/0cpmh6k	Fettuccine Alfredo	6.0	Tablespoon	Butter	
	/m/083qqd9	Foie Gras Pasta	0.75	Cup	Madeira wine	
	/m/0cc0x9n	Crêpes	1.0	Tablespoon	Butter	melted
	/m/0cpmh7f	Fettuccine Alfredo			Kosher Salt	
	/m/0cnd4n9	Arroz con pollo	1.0	Pound	Pea	Green peas, frozen
	/m/0gwsk88	Mom's Gingerbread Re-invented	1.0		Egg	well beaten
	/m/07ntg4z	Chocolate Chip Cookies	1.5	Cup	Brown sugar	Light brown sugar, packed
	/m/08sbw6d	Quick Greek style lamb		Pinch	Black pepper	
	/m/07781bw	Country Sourdough Bread	1.8	Ounce	Coarse sea salt	I use a sea salt from Portugal, lots of minerality
	/m/094wymg	Duck Confit	2.0		Bay leaf	broken into pieces
	/m/08n130m	Roast Chicken	1.0	Gallon (US)		
	/m/0cnd4qj	Arroz con pollo	4.0	Teaspoon	Paprika	
	/m/0cnd4kc	Arroz con pollo	3.0		Garlic	cloves, minced
	/m/0gwttbx	Mom's Gingerbread Re-invented	1.0	Cup	Milk	
	/m/0b4cwjq	Butternut Squash Risotto	2.5	Cup	Arborio rice	
	/m/09rhz3j	Braised Shortribs	1.0	Pound	Carrot	ideally baby carrots
	/m/0b4cwld	Butternut Squash Risotto			Kosher Salt	
	/m/09vw5y6	Spicy Cauliflower with Anchovy	2.0	Tablespoon	Extra virgin olive oil	
	/m/09rglmj	Red Wine Reduction	0.75	Liter	Red Wine	
	/m/0cnd4n2	Arroz con pollo	1.0	Teaspoon	Saffron	
	/m/0cnd4k4	Arroz con pollo	2.0		Yellow onion	medium,  medium dice
	/m/0gwsk81	Mom's Gingerbread Re-invented	2.0	Tablespoon	Brown sugar	
	/m/08sbwqv	Quick Greek style lamb	2.0	Tablespoon (AU)	Olive oil	
	/m/08n0pb8	Brine	2.0	Tablespoon	Black peppercorn	
	/m/08n0pct	Brine	0.5	Cup	Garlic	cloves, skin on, mashed
	/m/08sbw76	Quick Greek style lamb	4.0		Garlic	Cloves
	/m/07781c8	Country Sourdough Bread	2.0	Ounce	Raw Wheat Germ	about 3/4 cup
	/m/0cpmh6_	Fettuccine Alfredo	1.0	Pound	Fettuccine	dry weight
	/m/05yr17_	Jeff's Oatmeal-Raisin Cookies	1.0	Tablespoon	Water	Hot
	/m/07ntg5f	Chocolate Chip Cookies	1.0	Cup	Unsalted Butter	2 sticks, melted and cooled slightly
	/m/083qqb_	Foie Gras Pasta	0.25	Cup	White truffle oil	
	/m/07nv3n0	Country Sourdough Bread			Semolina	for dusting
	/m/09vw58n	Spicy Cauliflower with Anchovy	8.0	Ounce	Anchovy	a tin
	/m/0b4cwl4	Butternut Squash Risotto	2.0	Tablespoon	Butter	unsalted
	/m/09rhz5c	Braised Shortribs	40.0		Pearl onion	
	/m/07dkz0r	Thad's Gumbo Recipe	1.0		Bell pepper	Green color
	/m/0cpmhh1	Fettuccine Alfredo	0.25	Pound	Pancetta	
	/m/08sc2pb	Quick Greek style lamb	0.5		Lemon	
	/m/09rglm8	Red Wine Reduction	1.0	Cup	Yellow onion	1/2 inch dice
	/m/07ntg8b	Chocolate Chip Cookies	16.0	Ounce	Pecan	toasted at 300 degrees, and cooled. Or walnuts, if you prefer
	/m/07dkz0z	Thad's Gumbo Recipe	4.0	Quart (US)	Water	
	/m/08n0pbh	Brine	12.0		Bay leaf	
	/m/08sbrnz	Quick Greek style lamb	0.25	Cup (Metric)	Strained yoghurt	
	/m/05yvr5m	Orbis Tertius	1.0		Tortilla	
	/m/0gwrppb	Alex's Scratch Brownies	3.0		Egg	Large
	/m/0cpmh7l	Fettuccine Alfredo			Black peppercorn	freshly ground
	/m/0gwsk8h	Mom's Gingerbread Re-invented	5.0	Tablespoon	Walnut	cut fine
	/m/0gwrpnx	Alex's Scratch Brownies	100.0	Gram	Wheat flour	
	/m/07f10s2	Baked Risotto with Asparagus, Spinach, and Sausage	0.5	Teaspoon	Nutmeg	freshly grated, if you've got the big clove thing, and a grater
	/m/0gwsk7l	Mom's Gingerbread Re-invented	1.0	Cup	Brown sugar	
	/m/07vlk_m	Braised Brussels Sprouts with Bacon	0.5	Teaspoon	Black peppercorn	freshly ground
	/m/09rglj6	Braised Shortribs	2.0			a double recipe
	/m/0777xvt	Country Sourdough Bread	31.0	Ounce	Organic Bread Flour	I use Giusto's Ultimate Performance
	/m/07c032d	Spicy Orange and Ginger Chicken	0.5	Teaspoon	Crushed red pepper	dried or fresh and minced
	/m/07c0ck6	Spicy Orange and Ginger Chicken	1.0	Teaspoon	Kosher Salt	
	/m/08n13td	Roast Chicken	2.0		Chicken meat	2.5 pounds or less, ideally
	/m/08n0pcb	Brine	1.0	Bunch	Parsley	
	/m/0cnd4s5	Arroz con pollo			Kosher Salt	
	/m/07dkz07	Thad's Gumbo Recipe	1.0	Pound	Chicken meat	Use whole cut into pieces or White meat chunks
	/m/07c021q	Spicy Orange and Ginger Chicken	5.0		Garlic	cloves, minced
	/m/0cpmh6s	Fettuccine Alfredo	2.0	Cup	Cream	
	/m/09vw591	Spicy Cauliflower with Anchovy			Black peppercorn	freshly ground
	/m/0b4cwk5	Butternut Squash Risotto	2.0	Teaspoon	Garlic	minced
	/m/0gwrpn0	Alex's Scratch Brownies	1.0	Teaspoon	Vanilla extract	
	/m/05yvr5z	Orbis Tertius	50.0	Gram	White Crab Mushroom	
	/m/09kl4yt	Pasta with Simple Tomato Sauce	1.0		Onion	chopped brown
	/m/05yvr5t	Orbis Tertius			Table salt	
	/m/0cpmh77	Fettuccine Alfredo		Pinch	Nutmeg	
	/m/0cc0x9x	Crêpes	1.0	Cup	All-purpose Flour	
	/m/07nh_94	Broccoli Raab Pasta	0.75	Cup	Parmigiano Reggiano	finely grated
	/m/07dk8s5	Roux	0.25	Cup	Flour	
	/m/0b4cwkx	Butternut Squash Risotto	0.5	Cup	Parmigiano Reggiano	freshly grated fine
	/m/09vw59t	Spicy Cauliflower with Anchovy	0.5	Cup	Breadcrumb	ideally, housemade, large crumb
	/m/09rglm_	Red Wine Reduction	1.0	Cup	Carrot	peeled and 1/2 inch slice
	/m/07yb_4x	Braised Brussels Sprouts with Bacon	4.0	strips	Bacon	
	/m/07nh_8f	Broccoli Raab Pasta	1.5	Pound	Orecchiette	Rustichella brand is best
	/m/08n0p9f	Brine	0.25	Cup	Honey	
	/m/07c01_r	Spicy Orange and Ginger Chicken	0.5	Cup	Stock	Chicken stock, preferably
	/m/08n0p9w	Brine	2.0		Lemon	for chicken only
	/m/083qqdk	Foie Gras Pasta	1.0	Cup	Cream	
	/m/07c020r	Spicy Orange and Ginger Chicken	0.25	Cup (US)	Rice wine	Preferably Shao Xing Rice Wine (optional)
	/m/083qqcw	Foie Gras Pasta	0.5	Pound	Tortiglioni	Ridged pasta tubes, about 1/2 diameter, preferably Rustichella
	/m/08sbw6_	Quick Greek style lamb	15.0	Milliliter	Lemon juice	
	/m/07m519v	Cajun Roux			Cooking oil	Equal Part to Flour depending on quantity needed
	/m/07c021f	Spicy Orange and Ginger Chicken	1.0	Quart (US)	Snap pea	Stemmed, and pull that string thing off too
	/m/0gd6zgl					
	/m/0gwsk7c	Mom's Gingerbread Re-invented	0.5	Cup	Molasses	
	/m/07ntg5p	Chocolate Chip Cookies	3.0	Cup	All-purpose Flour	
	/m/094wym6	Duck Confit	0.25	Cup	Parsley	Italian flat leaf parsley, leaves packed
	/m/09rgm75	Red Wine Reduction	3.0		Garlic	cloves, skin left on, smashed
	/m/09vw58x	Spicy Cauliflower with Anchovy			Kosher Salt	
	/m/083qqcm	Foie Gras Pasta	1.0	Tablespoon	Truffle	black, shaved, if you can afford them!
	/m/05yr17s	Jeff's Oatmeal-Raisin Cookies	0.75	Cup	Brown sugar	
	/m/09kl4zf	Pasta with Simple Tomato Sauce			Black pepper	freshly ground
	/m/09rhz40	Braised Shortribs	6.0		Parsley	Italian, sprigs
	/m/09rhz70	Braised Shortribs	6.0		Bay leaf	
	/m/0b4cwjh	Butternut Squash Risotto	1.0		Butternut squash	large
	/m/09rhz3s	Braised Shortribs	1.0	Pound	Fingerling potato	
	/m/09kl4yp	Pasta with Simple Tomato Sauce	1.0	Tablespoon	Olive oil	
	/m/09jywtw	Chocolate Covered Peanut Butter Balls	2.0	Cup	Peanut butter	creamy or crunchy.
	/m/07vlk_0	Braised Brussels Sprouts with Bacon	1.0	Tablespoon	Bacon Drippings	
	/m/07f10sh	Baked Risotto with Asparagus, Spinach, and Sausage	12.0	Ounce	Asparagus	organic, frozen, from TJs
	/m/07c0bsq	Spicy Orange and Ginger Chicken	2.0	Tablespoon	Soy sauce	
	/m/09rhz4r	Braised Shortribs	4.0		Garlic	cloves, mashed, skin on
	/m/0gwsk8z	Mom's Gingerbread Re-invented	0.5	Teaspoon	Salt	
	/m/0gwhgqt	Nasi Goreng	100.0	Gram	Rice	uncooked
	/m/07c0bsy	Spicy Orange and Ginger Chicken	2.0	Tablespoon	Peanut oil	
	/m/0cnd4t_	Arroz con pollo			Extra virgin olive oil	
	/m/0cnd4bk	Arroz con pollo	1.0	Pound	Tomato	stewed tomatoes, canned
	/m/05yr18p	Jeff's Oatmeal-Raisin Cookies	0.75	Cup	Table sugar	
	/m/09rhz6w	Braised Shortribs			Kosher Salt	
	/m/09kl4zt	Pasta with Simple Tomato Sauce	0.5	Gram	Sugar	caster sugar
	/m/0cc0x97	Crêpes	2.0		Egg	
	/m/05yvr6l	Orbis Tertius			Cheddar cheese	
	/m/077b3t7	Country Sourdough Bread			Whole wheat flour	Coarse ground, organic, for dusting
	/m/07781cn	Country Sourdough Bread	18.0	Ounce	Sourdough	Fed about 8 hours before, 100% hydration
	/m/0gwsk7t	Mom's Gingerbread Re-invented	3.0	Tablespoon	Ginger	minced, fresh, not powdered
	/m/0b4cwkf	Butternut Squash Risotto	5.0	Tablespoon	Extra virgin olive oil	
	/m/09ds498	Apple Blackberry Sponge Pudding	420.0	Milliliter	Water	Boiling
	/m/07nh_8p	Broccoli Raab Pasta	1.0	Pound	Rapini	1 large bunch
	/m/05yvr65	Orbis Tertius	1.0	Teaspoon	Salsa verde	
	/m/0gwrppk	Alex's Scratch Brownies	150.0	Gram	Chocolate	
	/m/07c0ckg	Spicy Orange and Ginger Chicken	1.0	Teaspoon	Black peppercorn	freshly ground
	/m/09kl4zp	Pasta with Simple Tomato Sauce	0.3	Cup	Parsley	chopped fresh
	/m/07ntg8t	Chocolate Chip Cookies	32.0	Ounce	Chocolate chip	semisweet
	/m/09ds492	Apple Blackberry Sponge Pudding	1.0		Egg	
	/m/09vw5mv	Spicy Cauliflower with Anchovy	0.75	Cup	Stock	chicken or vegetable
	/m/094wyp7	Duck Confit	8.0	Cup	Duck fat	rendered and melted
	/m/08n1536	Roast Chicken	2.0	Cup	Stock	Chicken stock
	/m/07nh_9f	Broccoli Raab Pasta	1.0	Pound	Italian sausage	Spicy!
	/m/09rhz54	Braised Shortribs	6.0		Thyme	sprigs
	/m/0b4cwjy	Butternut Squash Risotto	0.5	Cup	Shallot	finely chopped
	/m/07c021y	Spicy Orange and Ginger Chicken	1.0		Valencia orange	
	/m/0gwrpp3	Alex's Scratch Brownies	120.0	Gram	Unsalted Butter	
	/m/09jywtm	Chocolate Covered Peanut Butter Balls	1.0	Pound	Chocolate	semisweet, >=56% chocolate
	/m/07dkz1c	Thad's Gumbo Recipe	0.5	Cup	Roux	
	/m/07dkz15	Thad's Gumbo Recipe	1.0		Onion	
	/m/07f10qz	Baked Risotto with Asparagus, Spinach, and Sausage	1.0	Teaspoon	Black peppercorn	freshly ground
	/m/0j49pbj	Gimlet	2.0	Fluid ounce (US)	Gin	or Vodka
	/m/09vw59j	Spicy Cauliflower with Anchovy	2.0	Tablespoon	Caper	drained
	/m/0b4cwkn	Butternut Squash Risotto	32.0	Fluid ounce (US)	Stock	chicken or vegetable
	/m/07nh_9p	Broccoli Raab Pasta	0.5	Teaspoon	Black peppercorn	freshly ground
	/m/08n0pbr	Brine	3.0	Sprig	Rosemary	
	/m/0j49pbs	Gimlet	0.5	Fluid ounce (US)	Lime Juice	
	/m/0j49pb_	Gimlet	0.25	Fluid ounce (US)	Sugar Syrup	up to 1/2 oz.
	/m/0gwrpnp	Alex's Scratch Brownies	30.0	Gram	Cocoa	
	/m/0gwrpvs	Alex's Easy Ice Cream	240.0	mL	Milk	Soy, or rice milk ok.
	/m/09rgm6s	Red Wine Reduction	0.5	Teaspoon	Black peppercorn	
	/m/09rhyyz	Braised Shortribs	2.0	Cup	Yellow onion	1/2 inch dice
	/m/07f10t5	Baked Risotto with Asparagus, Spinach, and Sausage	4.0	Cup	Stock	We use the organic chicken stock from Trader Joe's
	/m/07f10rs	Baked Risotto with Asparagus, Spinach, and Sausage	1.0	Pound	Italian sausage	We use the spicy one from TJ's
	/m/07vlk_d	Braised Brussels Sprouts with Bacon	2.0	Tablespoon	Extra virgin olive oil	
	/m/07ntg5x	Chocolate Chip Cookies	1.5	Teaspoon	Sodium bicarbonate	Baking soda
	/m/0gwrpng	Alex's Scratch Brownies	200.0	Gram	Sugar	
	/m/07c0200	Spicy Orange and Ginger Chicken	1.0		Red onion	medium dice
	/m/08n0p9n	Brine	1.0	Gallon (US)	Water	
	/m/09rglmr	Red Wine Reduction	1.0	Cup	Leek	1/2 inch slice, white and light green parts
	/m/08sbw6m	Quick Greek style lamb		Pinch	Coarse sea salt	
	/m/0cc0xbb	Crêpes	1.0	Tablespoon	Sugar	
	/m/0j49pcl	Gimlet	1.0		Lime wedge	
	/m/0cnd4sb	Arroz con pollo			Black peppercorn	freshly ground
	/m/09ds49j	Apple Blackberry Sponge Pudding	1.0	Sachet	White Wings Blackberry Sponge Pudding	
	/m/083q1v2	Foie Gras Butter	1.0	Pound	Foie gras	Grade A, deveined
	/m/08sbrnk	Quick Greek style lamb	750.0	Gram	Lamb	Cut into rough chunks.
